X,Y
-136.634565,-122.789098
9.028361105,-2.91295261
10.9809976,-8.748538559
12.78935461,-14.62807073
13.43597756,-22.41040399
10.83256137,-31.04506897
7.581228383,-37.1834733
3.286695289,-42.92198848
1.8150536,-46.82646413
1.647728767,-50.67252813
1.285041442,-56.20380375
1.672109143,-61.18939072
3.248574542,-64.73584351
5.517677466,-69.52058127
8.172584195,-74.32550931
10.65308522,-81.14707173
11.27955358,-89.29049931
10.92076514,-95.96543912
9.963163871,-102.5422689
9.523403439,-108.0079278
7.635735735,-115.1904325
3.239250993,-122.2986081
2.170870238,-126.1850692
-2.357761856,-132.9509598
-5.550333375,-137.697188
-11.57044184,-143.028958
-16.30902942,-146.8944249
-20.20293251,-150.6436156
-28.68840092,-154.0568498
-36.72049736,-154.8096483
-44.23375854,-153.6850194
-52.37742905,-146.3969442
-56.05150632,-139.5423014
-58.83066128,-134.5909128
-61.48575012,-128.504371
-63.55132255,-122.1112757
-65.66065066,-117.3774599
-68.33402068,-113.1623874
-71.04190975,-111.8910806
-74.20071471,-111.881226
-78.70737018,-112.2723446
-83.33568933,-113.342817
-87.55155084,-115.2008863
-90.49719954,-117.8354494
-94.96527012,-121.4906789
-99.96386889,-125.2585627
-103.2661248,-128.7767219
-109.0929571,-133.1531252
-117.3410866,-135.9744449
-127.202386,-134.3193173
-134.7260543,-127.3522267
-137.8400332,-118.8301253
-139.848574,-114.0463495
-142.1920523,-108.9125561
-143.3051996,-100.5117
-142.0762193,-92.5087511
-139.8909214,-85.79147151
-136.2397939,-79.25099595
-133.6886828,-74.3224344
-133.7816861,-70.9308751
-134.5784748,-66.8266206
-135.9385481,-62.01477783
-137.4778572,-56.2123614
-138.5471549,-49.53453979
-138.8578238,-42.70018321
-138.6082994,-36.10629652
-138.0767098,-29.81806115
-137.5483755,-23.87748977
-137.3079838,-18.2811132
-137.6277625,-12.93120736
-138.3112901,-7.194529292
-138.2823021,-0.251892921
-135.5448921,7.826599207
-129.030844,14.70128913
-120.6001952,18.32616715
-111.2559942,18.19407179
-102.947229,14.14650065
-97.16391363,7.493845183
-93.53269892,2.488306777
-90.35434701,0.549576375
-86.38619707,-0.893072987
-81.55559975,-2.164008844
-76.38787526,-3.067520321
-71.56445223,-2.964968341
-65.64117357,-2.858904741
-56.89574146,-6.814912333
-51.0347934,-13.78253662
-47.50404973,-17.43959547
-43.67259301,-19.60874444
-39.47661372,-20.58852443
-37.57935399,-19.25870875
-37.31366064,-17.03619558
-36.09618373,-13.53555778
-34.73598402,-8.837665496
-32.58724004,-2.859752802
-28.50989467,3.736002784
-21.45007665,9.19686058
-11.83087866,10.85891992
-4.309446932,9.942132317
-5.077935674,-8.013187035
-3.245526599,-13.50311629
-1.549445294,-19.03247956
-1.54168953,-23.22862684
-3.179015559,-25.69009819
-5.608297568,-30.03949645
-8.60255992,-33.77619105
-11.92312468,-40.80463238
-13.2366001,-48.81329326
-13.68065277,-55.18990206
-13.29677612,-62.15503757
-10.87531959,-69.78714181
-8.074747396,-75.86455371
-4.977565929,-81.54170995
-3.516601009,-86.06845286
-3.710565427,-89.8348632
-4.05334152,-95.08445689
-4.87019681,-100.3126028
-5.424636977,-106.7604954
-6.798058084,-111.1080807
-9.132099463,-113.816292
-11.9993392,-121.2651948
-14.47973149,-124.1159243
-17.98914801,-129.3141163
-21.06275357,-131.4144835
-25.79059575,-135.2711766
-30.56118925,-139.7943521
-33.03648232,-139.7008689
-37.77346842,-139.8466522
-40.60036326,-137.1071261
-42.70493561,-132.6962039
-45.74375941,-127.2606331
-47.69953965,-122.5933304
-49.2533934,-117.5759452
-51.91182217,-111.3799841
-55.55130146,-105.3136875
-62.21417091,-99.76379621
-71.07236045,-97.2110726
-79.25359888,-97.28229341
-86.38814133,-98.65668288
-93.22569469,-101.315495
-99.69273834,-105.9846238
-104.4582659,-109.8767635
-108.9812236,-113.2715983
-114.0129228,-118.3121946
-117.9239505,-121.0282105
-121.4361087,-121.5442406
-123.0638758,-119.901525
-123.2418928,-117.7026654
-123.4168859,-114.7103169
-125.9675445,-108.3615435
-128.5403803,-102.6971035
-128.3512832,-99.33680136
-127.3297471,-95.25494057
-125.6764148,-90.5818577
-123.2986441,-86.83562799
-120.3794799,-81.24089659
-118.883891,-72.6789313
-119.7151664,-64.80620927
-121.4550358,-58.11248714
-122.9793312,-52.3662279
-123.7211343,-47.25657728
-123.8688179,-42.12598543
-123.6211733,-36.7276259
-123.1314902,-31.09884713
-122.6073574,-25.20639147
-122.3226678,-18.94466889
-122.6488876,-12.13540229
-123.4121328,-5.458121372
-123.2836048,-0.449575099
-121.6581409,2.1557844
-118.9879617,3.559452865
-115.5251109,4.210802475
-112.5815525,3.25275675
-110.5541934,1.218465545
-109.0781224,-1.61942151
-105.6778687,-6.314809185
-99.31219604,-11.48192149
-92.22390458,-14.71049572
-85.55524765,-16.62093855
-79.05844659,-17.82787427
-71.60658907,-17.96490916
-65.37659269,-17.85657112
-64.68413876,-19.63446254
-63.0784851,-22.72398451
-58.40313795,-27.74541304
-51.72567432,-32.26369925
-43.82111702,-34.94558858
-34.52129401,-33.9436762
-26.43219205,-27.36061524
-22.51346648,-19.9002881
-20.39303067,-13.2285298
-18.47877641,-7.953990128
-15.96217858,-4.483171184
-13.07305685,-3.246030533
-10.82101139,-4.107047072
-6.449325087,-4.904447137
